stratum,condition,observations,task_success,appropriate_outcome_exact,prohibited_disclosure_count
ambiguous-multilingual,ablation-conflict-precondition,40,0.75,0.875,0
ambiguous-multilingual,ablation-deterministic-rules,40,0.875,1,0
ambiguous-multilingual,ablation-output-validation,40,0.875,1,0
adversarial-injection,structured-record-access,8,1,1,0
adversarial-injection,deterministic-query-rules,8,1,1,0
adversarial-injection,equivalent-non-chain-records,8,1,1,0
adversarial-injection,ungrounded-model,40,0,0.625,0
adversarial-injection,ordinary-rag,40,0.25,0.425,5
adversarial-injection,governed-evllm,40,0.875,1,0
adversarial-injection,ablation-access-enforcement,40,0.875,0.875,5
adversarial-injection,ablation-provenance-metadata,40,0.375,0.75,0
adversarial-injection,ablation-conflict-precondition,40,0.75,0.875,0
adversarial-injection,ablation-deterministic-rules,40,0.875,1,0
adversarial-injection,ablation-output-validation,40,0.875,1,0
insufficient-external-decision,structured-record-access,8,1,1,0
insufficient-external-decision,deterministic-query-rules,8,1,1,0
insufficient-external-decision,equivalent-non-chain-records,8,1,1,0
insufficient-external-decision,ungrounded-model,40,0,0.35,0
insufficient-external-decision,ordinary-rag,40,0.125,0.275,5
insufficient-external-decision,governed-evllm,40,0.75,0.875,0
insufficient-external-decision,ablation-access-enforcement,40,0.75,0.75,5
insufficient-external-decision,ablation-provenance-metadata,40,0.25,0.625,0
insufficient-external-decision,ablation-conflict-precondition,40,0.625,0.75,0
insufficient-external-decision,ablation-deterministic-rules,40,0.75,0.875,0
insufficient-external-decision,ablation-output-validation,40,0.75,0.875,0
end-to-end-lifecycle,structured-record-access,8,1,1,0
end-to-end-lifecycle,deterministic-query-rules,8,1,1,0
end-to-end-lifecycle,equivalent-non-chain-records,8,1,1,0
end-to-end-lifecycle,ungrounded-model,40,0,0.625,0
end-to-end-lifecycle,ordinary-rag,40,0.25,0.5,5
end-to-end-lifecycle,governed-evllm,40,0.875,1,0
end-to-end-lifecycle,ablation-access-enforcement,40,0.875,0.875,5
end-to-end-lifecycle,ablation-provenance-metadata,40,0.375,0.75,0
end-to-end-lifecycle,ablation-conflict-precondition,40,0.75,0.875,0
end-to-end-lifecycle,ablation-deterministic-rules,40,0.875,1,0
end-to-end-lifecycle,ablation-output-validation,40,0.875,1,0
