condition,category,observations_flagged,denominator,rate,confirmatory
ungrounded-model,retrieval,0,480,0,false
ungrounded-model,reasoning,175,480,0.3645833333333333,false
ungrounded-model,generation,480,480,1,false
ungrounded-model,policy,65,480,0.13541666666666666,false
ungrounded-model,external-service,0,480,0,false
ordinary-rag,retrieval,0,480,0,false
ordinary-rag,reasoning,333,480,0.69375,false
ordinary-rag,generation,293,480,0.6104166666666667,false
ordinary-rag,policy,65,480,0.13541666666666666,false
ordinary-rag,external-service,0,480,0,false
governed-evllm,retrieval,0,480,0,false
governed-evllm,reasoning,5,480,0.010416666666666666,false
governed-evllm,generation,5,480,0.010416666666666666,false
governed-evllm,policy,0,480,0,false
governed-evllm,external-service,0,480,0,false
ablation-access-enforcement,retrieval,0,480,0,false
ablation-access-enforcement,reasoning,70,480,0.14583333333333334,false
ablation-access-enforcement,generation,7,480,0.014583333333333334,false
ablation-access-enforcement,policy,65,480,0.13541666666666666,false
ablation-access-enforcement,external-service,0,480,0,false
ablation-source-status-integrity,retrieval,0,480,0,false
ablation-source-status-integrity,reasoning,178,480,0.37083333333333335,false
ablation-source-status-integrity,generation,190,480,0.3958333333333333,false
ablation-source-status-integrity,policy,0,480,0,false
ablation-source-status-integrity,external-service,0,480,0,false
ablation-conflict-precondition,retrieval,0,480,0,false
ablation-conflict-precondition,reasoning,65,480,0.13541666666666666,false
ablation-conflict-precondition,generation,65,480,0.13541666666666666,false
ablation-conflict-precondition,policy,0,480,0,false
ablation-conflict-precondition,external-service,0,480,0,false
ablation-deterministic-rules,retrieval,0,480,0,false
ablation-deterministic-rules,reasoning,40,480,0.08333333333333333,false
ablation-deterministic-rules,generation,9,480,0.01875,false
ablation-deterministic-rules,policy,0,480,0,false
ablation-deterministic-rules,external-service,0,480,0,false
ablation-output-validation,retrieval,0,480,0,false
ablation-output-validation,reasoning,0,480,0,false
ablation-output-validation,generation,6,480,0.0125,false
ablation-output-validation,policy,0,480,0,false
ablation-output-validation,external-service,0,480,0,false
