stratum,observations,case_clusters,required_record_coverage_mean,all_required_records_covered,deterministic_record_binding,decision_code_accuracy,structured_outcome_accuracy,required_reason_accuracy,raw_candidate_validation_accuracy,generation_success,claims
resale-readiness,25,5,1,"{""numerator"":25,""denominator"":25,""estimate"":1,""ci_lower"":0.5655175352168251,""ci_upper"":1,""case_clusters"":5,""ci_method"":""case-cluster-boundary-wilson""}","{""numerator"":25,""denominator"":25,""estimate"":1,""ci_lower"":0.5655175352168251,""ci_upper"":1,""case_clusters"":5,""ci_method"":""case-cluster-boundary-wilson""}","{""numerator"":25,""denominator"":25,""estimate"":1,""ci_lower"":0.5655175352168251,""ci_upper"":1,""case_clusters"":5,""ci_method"":""case-cluster-boundary-wilson""}","{""numerator"":25,""denominator"":25,""estimate"":1,""ci_lower"":0.5655175352168251,""ci_upper"":1,""case_clusters"":5,""ci_method"":""case-cluster-boundary-wilson""}","{""numerator"":25,""denominator"":25,""estimate"":1,""ci_lower"":0.5655175352168251,""ci_upper"":1,""case_clusters"":5,""ci_method"":""case-cluster-boundary-wilson""}","{""numerator"":0,""denominator"":25,""estimate"":0,""ci_lower"":0,""ci_upper"":0.43448246478317476,""case_clusters"":5,""ci_method"":""case-cluster-boundary-wilson""}","{""numerator"":0,""denominator"":25,""estimate"":0,""ci_lower"":0,""ci_upper"":0.43448246478317476,""case_clusters"":5,""ci_method"":""case-cluster-boundary-wilson""}",100
missing-evidence,25,5,0.9,"{""numerator"":15,""denominator"":25,""estimate"":0.6,""ci_lower"":0.24,""ci_upper"":0.88,""case_clusters"":5,""ci_method"":""case-cluster-bootstrap""}","{""numerator"":25,""denominator"":25,""estimate"":1,""ci_lower"":0.5655175352168251,""ci_upper"":1,""case_clusters"":5,""ci_method"":""case-cluster-boundary-wilson""}","{""numerator"":25,""denominator"":25,""estimate"":1,""ci_lower"":0.5655175352168251,""ci_upper"":1,""case_clusters"":5,""ci_method"":""case-cluster-boundary-wilson""}","{""numerator"":25,""denominator"":25,""estimate"":1,""ci_lower"":0.5655175352168251,""ci_upper"":1,""case_clusters"":5,""ci_method"":""case-cluster-boundary-wilson""}","{""numerator"":25,""denominator"":25,""estimate"":1,""ci_lower"":0.5655175352168251,""ci_upper"":1,""case_clusters"":5,""ci_method"":""case-cluster-boundary-wilson""}","{""numerator"":11,""denominator"":25,""estimate"":0.44,""ci_lower"":0.2,""ci_upper"":0.68,""case_clusters"":5,""ci_method"":""case-cluster-bootstrap""}","{""numerator"":11,""denominator"":25,""estimate"":0.44,""ci_lower"":0.2,""ci_upper"":0.68,""case_clusters"":5,""ci_method"":""case-cluster-bootstrap""}",104
conflicting-evidence,25,5,1,"{""numerator"":25,""denominator"":25,""estimate"":1,""ci_lower"":0.5655175352168251,""ci_upper"":1,""case_clusters"":5,""ci_method"":""case-cluster-boundary-wilson""}","{""numerator"":25,""denominator"":25,""estimate"":1,""ci_lower"":0.5655175352168251,""ci_upper"":1,""case_clusters"":5,""ci_method"":""case-cluster-boundary-wilson""}","{""numerator"":25,""denominator"":25,""estimate"":1,""ci_lower"":0.5655175352168251,""ci_upper"":1,""case_clusters"":5,""ci_method"":""case-cluster-boundary-wilson""}","{""numerator"":25,""denominator"":25,""estimate"":1,""ci_lower"":0.5655175352168251,""ci_upper"":1,""case_clusters"":5,""ci_method"":""case-cluster-boundary-wilson""}","{""numerator"":25,""denominator"":25,""estimate"":1,""ci_lower"":0.5655175352168251,""ci_upper"":1,""case_clusters"":5,""ci_method"":""case-cluster-boundary-wilson""}","{""numerator"":0,""denominator"":25,""estimate"":0,""ci_lower"":0,""ci_upper"":0.43448246478317476,""case_clusters"":5,""ci_method"":""case-cluster-boundary-wilson""}","{""numerator"":0,""denominator"":25,""estimate"":0,""ci_lower"":0,""ci_upper"":0.43448246478317476,""case_clusters"":5,""ci_method"":""case-cluster-boundary-wilson""}",100
lifecycle-eligibility,25,5,1,"{""numerator"":25,""denominator"":25,""estimate"":1,""ci_lower"":0.5655175352168251,""ci_upper"":1,""case_clusters"":5,""ci_method"":""case-cluster-boundary-wilson""}","{""numerator"":25,""denominator"":25,""estimate"":1,""ci_lower"":0.5655175352168251,""ci_upper"":1,""case_clusters"":5,""ci_method"":""case-cluster-boundary-wilson""}","{""numerator"":25,""denominator"":25,""estimate"":1,""ci_lower"":0.5655175352168251,""ci_upper"":1,""case_clusters"":5,""ci_method"":""case-cluster-boundary-wilson""}","{""numerator"":25,""denominator"":25,""estimate"":1,""ci_lower"":0.5655175352168251,""ci_upper"":1,""case_clusters"":5,""ci_method"":""case-cluster-boundary-wilson""}","{""numerator"":25,""denominator"":25,""estimate"":1,""ci_lower"":0.5655175352168251,""ci_upper"":1,""case_clusters"":5,""ci_method"":""case-cluster-boundary-wilson""}","{""numerator"":0,""denominator"":25,""estimate"":0,""ci_lower"":0,""ci_upper"":0.43448246478317476,""case_clusters"":5,""ci_method"":""case-cluster-boundary-wilson""}","{""numerator"":0,""denominator"":25,""estimate"":0,""ci_lower"":0,""ci_upper"":0.43448246478317476,""case_clusters"":5,""ci_method"":""case-cluster-boundary-wilson""}",100
route-comparison,25,5,0.9120000000000001,"{""numerator"":14,""denominator"":25,""estimate"":0.56,""ci_lower"":0.36,""ci_upper"":0.76,""case_clusters"":5,""ci_method"":""case-cluster-bootstrap""}","{""numerator"":25,""denominator"":25,""estimate"":1,""ci_lower"":0.5655175352168251,""ci_upper"":1,""case_clusters"":5,""ci_method"":""case-cluster-boundary-wilson""}","{""numerator"":25,""denominator"":25,""estimate"":1,""ci_lower"":0.5655175352168251,""ci_upper"":1,""case_clusters"":5,""ci_method"":""case-cluster-boundary-wilson""}","{""numerator"":25,""denominator"":25,""estimate"":1,""ci_lower"":0.5655175352168251,""ci_upper"":1,""case_clusters"":5,""ci_method"":""case-cluster-boundary-wilson""}","{""numerator"":25,""denominator"":25,""estimate"":1,""ci_lower"":0.5655175352168251,""ci_upper"":1,""case_clusters"":5,""ci_method"":""case-cluster-boundary-wilson""}","{""numerator"":0,""denominator"":25,""estimate"":0,""ci_lower"":0,""ci_upper"":0.43448246478317476,""case_clusters"":5,""ci_method"":""case-cluster-boundary-wilson""}","{""numerator"":0,""denominator"":25,""estimate"":0,""ci_lower"":0,""ci_upper"":0.43448246478317476,""case_clusters"":5,""ci_method"":""case-cluster-boundary-wilson""}",124
custody-replica,25,5,1,"{""numerator"":25,""denominator"":25,""estimate"":1,""ci_lower"":0.5655175352168251,""ci_upper"":1,""case_clusters"":5,""ci_method"":""case-cluster-boundary-wilson""}","{""numerator"":25,""denominator"":25,""estimate"":1,""ci_lower"":0.5655175352168251,""ci_upper"":1,""case_clusters"":5,""ci_method"":""case-cluster-boundary-wilson""}","{""numerator"":25,""denominator"":25,""estimate"":1,""ci_lower"":0.5655175352168251,""ci_upper"":1,""case_clusters"":5,""ci_method"":""case-cluster-boundary-wilson""}","{""numerator"":25,""denominator"":25,""estimate"":1,""ci_lower"":0.5655175352168251,""ci_upper"":1,""case_clusters"":5,""ci_method"":""case-cluster-boundary-wilson""}","{""numerator"":25,""denominator"":25,""estimate"":1,""ci_lower"":0.5655175352168251,""ci_upper"":1,""case_clusters"":5,""ci_method"":""case-cluster-boundary-wilson""}","{""numerator"":0,""denominator"":25,""estimate"":0,""ci_lower"":0,""ci_upper"":0.43448246478317476,""case_clusters"":5,""ci_method"":""case-cluster-boundary-wilson""}","{""numerator"":0,""denominator"":25,""estimate"":0,""ci_lower"":0,""ci_upper"":0.43448246478317476,""case_clusters"":5,""ci_method"":""case-cluster-boundary-wilson""}",125
